"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/data/gitcode/juicefs-rs/Cargo.lock", "TOML", 2401, 0, 0, 277, 2678
"/data/gitcode/juicefs-rs/Cargo.toml", "TOML", 57, 0, 0, 3, 60
"/data/gitcode/juicefs-rs/src/lib.rs", "Rust", 0, 12, 0, 3, 15
"/data/gitcode/juicefs-rs/src/meta/Cargo.toml", "TOML", 42, 0, 0, 3, 45
"/data/gitcode/juicefs-rs/src/meta/src/acl.rs", "Rust", 0, 170, 6, 29, 205
"/data/gitcode/juicefs-rs/src/meta/src/api.rs", "Rust", 0, 452, 209, 97, 758
"/data/gitcode/juicefs-rs/src/meta/src/base.rs", "Rust", 0, 2670, 195, 158, 3023
"/data/gitcode/juicefs-rs/src/meta/src/config.rs", "Rust", 0, 174, 12, 11, 197
"/data/gitcode/juicefs-rs/src/meta/src/context.rs", "Rust", 0, 59, 7, 14, 80
"/data/gitcode/juicefs-rs/src/meta/src/error.rs", "Rust", 0, 296, 7, 32, 335
"/data/gitcode/juicefs-rs/src/meta/src/lib.rs", "Rust", 0, 23, 0, 4, 27
"/data/gitcode/juicefs-rs/src/meta/src/openfile.rs", "Rust", 0, 131, 6, 23, 160
"/data/gitcode/juicefs-rs/src/meta/src/quota.rs", "Rust", 0, 472, 20, 49, 541
"/data/gitcode/juicefs-rs/src/meta/src/random_test.rs", "Rust", 0, 3, 0, 2, 5
"/data/gitcode/juicefs-rs/src/meta/src/rds/check.rs", "Rust", 0, 84, 0, 11, 95
"/data/gitcode/juicefs-rs/src/meta/src/rds/conn.rs", "Rust", 0, 63, 3, 12, 78
"/data/gitcode/juicefs-rs/src/meta/src/rds/mod.rs", "Rust", 0, 6, 0, 1, 7
"/data/gitcode/juicefs-rs/src/meta/src/rds/redis.rs", "Rust", 0, 3031, 104, 210, 3345
"/data/gitcode/juicefs-rs/src/meta/src/rds/test.rs", "Rust", 0, 146, 13, 38, 197
"/data/gitcode/juicefs-rs/src/meta/src/session.rs", "Rust", 0, 2, 0, 3, 5
"/data/gitcode/juicefs-rs/src/meta/src/slice.rs", "Rust", 0, 285, 11, 30, 326
"/data/gitcode/juicefs-rs/src/meta/src/test.rs", "Rust", 0, 751, 27, 61, 839
"/data/gitcode/juicefs-rs/src/meta/src/utils.rs", "Rust", 0, 82, 7, 16, 105
"/data/gitcode/juicefs-rs/src/storage/Cargo.toml", "TOML", 40, 0, 0, 4, 44
"/data/gitcode/juicefs-rs/src/storage/benches/bench_cache_store_read.rs", "Rust", 0, 34, 0, 6, 40
"/data/gitcode/juicefs-rs/src/storage/src/api.rs", "Rust", 0, 55, 24, 21, 100
"/data/gitcode/juicefs-rs/src/storage/src/buffer.rs", "Rust", 0, 215, 0, 22, 237
"/data/gitcode/juicefs-rs/src/storage/src/cache/disk/cache.rs", "Rust", 0, 1683, 79, 115, 1877
"/data/gitcode/juicefs-rs/src/storage/src/cache/disk/mod.rs", "Rust", 0, 3, 0, 1, 4
"/data/gitcode/juicefs-rs/src/storage/src/cache/mem.rs", "Rust", 0, 0, 0, 2, 2
"/data/gitcode/juicefs-rs/src/storage/src/cache/mod.rs", "Rust", 0, 137, 18, 27, 182
"/data/gitcode/juicefs-rs/src/storage/src/cached_store.rs", "Rust", 0, 756, 59, 93, 908
"/data/gitcode/juicefs-rs/src/storage/src/compress.rs", "Rust", 0, 26, 3, 9, 38
"/data/gitcode/juicefs-rs/src/storage/src/error.rs", "Rust", 0, 92, 2, 15, 109
"/data/gitcode/juicefs-rs/src/storage/src/lib.rs", "Rust", 0, 16, 0, 3, 19
